team,member_count
Board of Directors,7
Advisory Board,5
Executive Team,3
Operations,4
Business Development,1
Marketing,0
Community Engagement,1
Ushahidi v3,6
Ushahidi v3 in the Cloud,1
Ushahidi v2,2
Crowdmap,2
Crowdmap Classic,2
CrowdmapID,2
SwiftRiver,0
Ping,2
SMSSync,1
iOS app,0
Android app,1
BRCK,6
UI/UX/Design,2
RRI,1
CrisisNET,2
External Projects,3
Making All Voices Count,3
